unique_id;date;duration;kind;day_night;national;region;type;event_name;event_link;club;map;location;coord_x;coord_y;deadline;entryportal;last_modification
12356;2024-01-12;1;ski;day;0;GL/GR;201;Ski-O Open Race Sprint ;https://www.ski-o-swiss.ch/ausschreibung?event=2324_lenz;Ski-O Swiss;Lantsch/Lenz;;762200;173425;2024-01-02;2;2023-12-28 13:25:08
12262;2024-01-13;1;foot;day;0;AG;401S;40. Treslagstaffel;;Cordoba OLC Junior Team;Summerhalde/Rütihof-Dorf;Rütihof (Baden);662675;254800;2024-01-07;2;2024-01-06 01:25:44
12357;2024-01-13;1;ski;day;0;GL/GR;202;Nat. Ski-OL Middle verlängert;https://www.ski-o-swiss.ch/ausschreibung?event=2324_lenz;Ski-O Swiss;Lantsch/Lenz;;762200;173425;2024-02-01;2;2023-12-28 13:25:18
12265;2024-01-14;1;foot;day;0;ZH/SH;*1;Winter Stadt OL;https://olg-pfaeffikon.ch;OLG Pfäffikon;Hinwil;Hinwil;706650;239375;2024-01-10;2;2024-01-16 21:14:27
12358;2024-01-14;1;ski;day;0;GL/GR;203;Ski-OL Schweizermeisterschaften Kurz;https://www.ski-o-swiss.ch/ausschreibung?event=2324_lenz;Ski-O Swiss;Lantsch/Lenz;;762200;173425;2024-02-01;2;2023-12-28 13:25:27
12359;2024-01-15;1;ski;day;0;GL/GR;204;Ski-O Open Race Middle;https://www.ski-o-swiss.ch/ausschreibung?event=2324_lenz;Ski-O Swiss;Lantsch/Lenz;;762200;173425;2024-02-01;2;2023-12-28 13:25:40
12360;2024-01-16;1;ski;day;0;GL/GR;205;Ski-O Open Sprint Relay;https://www.ski-o-swiss.ch/ausschreibung?event=2324_lenz;Ski-O Swiss;Lantsch/Lenz;;762200;173425;2024-01-02;2;2023-12-28 13:25:49
12638;2024-01-19;1;foot;night;0;BE/SO;155;3. bern by night;https://bern-by-night.ch/contests/;OK BBN;Bütikofen;;;;;0;2024-02-28 10:37:13
12389;2024-01-20;1;foot;day;0;BE/SO;101;Metsässä 7;;Niggli Events / ol norska;Bütikofen Nord;Ersigen;614075;215950;2024-01-17;2;2024-01-02 23:26:33
12225;2024-01-20;1;foot;day;0;BE/SO;;Kärtler-Tagung;;Swiss Orienteering;i.d.R. Olten;;;;;0;2023-11-21 08:55:53
12267;2024-01-21;1;foot;day;0;NWS;102;Swiss Billygoat Run;https://www.olv-baselland.ch/s/Weisungen-Billygoat_2024_V2.pdf;OLV Baselland;Galms-Zunzgerhard;;625075;255625;2024-01-14;5;2024-01-26 01:47:25
