unique_id;date;duration;kind;day_night;national;region;type;event_name;event_link;club;map;location;coord_x;coord_y;deadline;entryportal;last_modification
11942;10.06.2023;1;foot;day;0;ZS;*31;Urner OL;https://olg-ktv-altdorf.ch/;OLG KTV Altdorf;Brennwald;Seelisberg;687305;203318;;0;08.12.2022 16:28
11800;11.06.2023;1;foot;day;0;ZH/SH;*32;51. Schaffhauser OL;;OLG Schaffhausen;Schaffhausen;Schaffhausen;;;;0;08.12.2022 16:28
11927;11.06.2023;1;foot;day;0;TI;118;7. TMO ASCO Cima di Medeglia;http://www.asti-ticino.ch/co/;ASCO Lugano;Cima di Medeglia;;;;04.06.2023;5;08.12.2022 17:05
11997;11.06.2023;1;foot;day;0;SR;*33;63. CO régionale du CA Rosé;http://www.puppen.ch/ca-rose/;CA Rosé;Bandeire-Berley;Cousset;;;;0;08.12.2022 16:28
11907;13.06.2023;1;foot;day;0;AG;;20. Aargauer sCOOL-Cup;;AOLV;Pferderennbahn Schachen;Aarau;644612;249060;;0;19.10.2022 17:20
12022;14.06.2023;1;foot;day;0;BE/SO;*34;1. Berner Abendlauf;https://olregioburgdorf.ch/;OL Regio Burgdorf;Fraubrunnen;Fraubrunnen;;;;0;08.12.2022 16:28
12119;16.06.2023;1;foot;day;0;NOS;;7. Lauf Öpfel-Trophy;https://oepfel-trophy.ch/termine-2023/;OL Amriswil;Erlen;;;;;0;13.01.2023 01:09
11842;17.06.2023;1;foot;day;0;GL/GR;*35;52. Bündner OL-Weekend;https://olg-chur.ch/images/downloads/Veranstaltungen/Ausschreibungen/2023_BueWe_Ausschreibung.pdf;OLG Chur;Trin;Trin;746375;188150;12.06.2023;2;18.01.2023 01:46
11843;18.06.2023;1;foot;day;0;GL/GR;*36;52. Bündner OL-Weekend;https://olg-chur.ch/images/downloads/Veranstaltungen/Ausschreibungen/2023_BueWe_Ausschreibung.pdf;OLG Chur;Trin;Trin;746375;188150;12.06.2023;2;20.01.2023 01:13
11818;20.06.2023;1;foot;day;0;NWS;119;Basler Sommer-OL;;OLG Basel;Lingenberg;;;;;0;08.12.2022 17:06
12021;21.06.2023;1;foot;day;0;BE/SO;120;2. Berner Abendlauf;https://www.olnorska.ch/;ol norska;Belp;Belp;;;;0;08.12.2022 17:06
12011;22.06.2023;1;foot;day;0;BE/SO;121;1. impOLs OL ;https://www.olregioolten.ch/;OL Regio Olten;Längwald Ost;;;;;0;08.12.2022 17:06
11465;25.06.2023;1;foot;day;1;ZH/SH;SOM;Staffel OL Schweizermeisterschaft;;OLC Kapreolo;Irchel;;;;;0;18.09.2022 20:23
12020;28.06.2023;1;foot;day;0;BE/SO;122;3. Berner Abendlauf;https://www.olgbern.ch/;OLG Bern;Bremgarten;Bremgarten / BE;;;;0;08.12.2022 17:06
12012;01.07.2023;1;foot;day;0;BE/SO;*37;2. impOLs OL;https://olgbiberistso.ch/;OLG Biberist;Uferpark;;;;;0;08.12.2022 16:29
12014;06.07.2023;1;foot;day;0;BE/SO;123;3. impOLs OL;https://www.olv-langenthal.ch/;OLV Langenthal;Schuelwald;;;;;0;08.12.2022 17:06
11495;12.07.2023;1;foot;day;0;GL/GR;;Qualifikation Mitteldistanz WOC;https://woc2023.ch/en/home/;OK OL WM 2023;Flims Laax;;;;;0;02.11.2021 21:22
11496;13.07.2023;1;foot;day;0;GL/GR;;Langdistanz WOC;https://woc2023.ch/en/home/;OK OL WM 2023;Flims Laax;;;;;0;02.11.2021 21:22
11497;15.07.2023;1;foot;day;0;GL/GR;;Final Mitteldistanz WOC;https://woc2023.ch/en/home/;OK OL WM 2023;Flims Laax;;;;;0;02.11.2021 21:23
11498;16.07.2023;1;foot;day;0;GL/GR;S;Staffel WOC;https://woc2023.ch/en/home/;OK OL WM 2023;Flims Laax;;;;;0;08.12.2022 16:55
11487;16.07.2023;1;foot;day;0;GL/GR;124b;1. Etappe Swiss-O-Week;https://swiss-o-week.ch/de/;SOW 2023;Flimserwald;;;;;0;08.12.2022 17:08
11489;17.07.2023;1;foot;day;0;GL/GR;125b;2. Etappe Swiss-O-Week;https://swiss-o-week.ch/de/;SOW 2023;Crap Sogn Gion;;;;;0;08.12.2022 17:08
11490;18.07.2023;1;foot;day;0;GL/GR;126b;3. Etappe Swiss-O-Week;https://swiss-o-week.ch/de/;SOW 2023;Vorab;;;;;0;08.12.2022 17:08
11491;20.07.2023;1;foot;day;0;GL/GR;127b;4. Etappe Swiss-O-Week;https://swiss-o-week.ch/de/;SOW 2023;Nagens;;;;;0;08.12.2022 17:09
11492;21.07.2023;1;foot;day;0;GL/GR;128b;5. Etappe Swiss-O-Week;https://swiss-o-week.ch/de/;SOW 2023;Grauberg;;;;;0;08.12.2022 17:09
11493;22.07.2023;1;foot;day;0;GL/GR;129b;6. Etappe Swiss-O-Week;https://swiss-o-week.ch/de/;SOW 2023;Laax;;;;;0;08.12.2022 17:09
11716;11.08.2023;1;foot;day;0;AG;130M;Aargauer 3-Tage-OL;;OLG Rymenzburg;Beromünster;Neudorf (LU);658520;225300;;0;08.12.2022 17:09
11714;12.08.2023;1;foot;day;0;AG;131M;Aargauer 3-Tage-OL;;OLG Rymenzburg;Chegelwald;Neudorf (LU);658520;225300;;0;08.12.2022 17:09
11879;12.08.2023;1;foot;day;0;BE/SO;132M;48. SIMM Swiss International Mountain Marathon;https://mountainmarathon.ch/;OK Mountain Marathon ;Adelboden;Adelboden;;;24.07.2023;3;08.12.2022 17:11
11712;13.08.2023;1;foot;day;0;AG;133M;Aargauer 3-Tage-OL;;OLG Rymenzburg;Chüewald;Neudorf (LU);658520;225300;;0;08.12.2022 17:11
11880;13.08.2023;1;foot;day;0;BE/SO;134M;48. SIMM Swiss International Mountain Marathon;https://mountainmarathon.ch/;OK Mountain Marathon ;Adelboden;Adelboden;;;24.07.2023;3;08.12.2022 17:11
11812;16.08.2023;1;foot;day;0;NWS;135;Baselbieter Sommer-OL;;OLV Baselland;Galms;;;;;5;08.12.2022 17:12
12023;16.08.2023;1;foot;day;0;BE/SO;136;4. Berner Abendlauf;https://www.olgbern.ch/home;OLG Bern;Könizbergwald;;;;;0;08.12.2022 17:12
12015;17.08.2023;1;foot;day;0;BE/SO;137;4. impOLs OL;https://olghuttwil.ch/;OLG Huttwil;Chaltenegg;;;;;0;08.12.2022 17:12
12120;18.08.2023;1;foot;day;0;NOS;;8. Lauf Öpfel-Trophy;https://oepfel-trophy.ch/termine-2023/;thurgorienta;Müllheim;;;;;0;13.01.2023 01:09
12024;23.08.2023;1;foot;day;0;BE/SO;*38;5. Berner Abendlauf;https://www.olbielseeland.ch/;ol.biel.seeland;Längholz;;;;;0;08.12.2022 16:29
12038;23.08.2023;1;foot;day;0;AG;138;ASJM-Abend OL;;AOLV;Scheibenschachen;Aarau;;;;0;08.12.2022 17:12
12016;24.08.2023;1;foot;day;0;BE/SO;139;5. impOLs OL;http://www.bucheggbergerol.ch/joomla/;Bucheggberger OL;Grosser Stein;;;;;0;08.12.2022 17:12
11485;25.08.2023;1;foot;day;0;NOS;;European University Orienteering Championchips;;OLG St. Gallen / Appenzell;St. Gallen;;;;;0;05.11.2021 19:24
12121;25.08.2023;1;foot;day;0;NOS;;9. Lauf Öpfel-Trophy;https://oepfel-trophy.ch/termine-2023/;OL Amriswil;Tägerwilen;;;;;0;13.01.2023 17:56
11481;26.08.2023;1;foot;day;0;NOS;;European University Orienteering Championchips;;OLG St. Gallen / Appenzell;Hirschberg;;;;;0;05.11.2021 19:26
